"","CMA","jan20","feb20","mar20","apr20","janfeb","febmar","marapr","febapr","X","remote_work_onet","remote_work_manual","name"
"1",0,8134530,8197846,7865925,6990986,0.77836088870531,-4.04888064498894,-11.1231546194503,-14.7216720099402,1,0.354582250431148,0.327078538411564,"Other CMA or non-CMA"
"2",1,427962,436621,402821,356664,2.02331048083708,-7.74126759821447,-11.4584393564387,-18.3126785014921,2,0.446064456822989,0.410347998412393,"Québec"
"3",2,2201995,2210080,2051867,1815278,0.367167046246708,-7.15870013755158,-11.5304257049799,-17.8636972417288,3,0.450685607769806,0.413062001135087,"Montréal"
"4",3,581680,580089,555121,521556,-0.273518085545321,-4.30416711918343,-6.04642951716833,-10.0903482051892,4,0.550765923776141,0.521447459169465,"Ottawa"
"5",4,3554812,3531369,3276723,2996278,-0.659472287142049,-7.21097115594547,-8.55870331425634,-15.1525088428878,5,0.473579985433771,0.44447028116148,"Toronto"
"6",5,419836,427915,403198,365797,1.92432283081965,-5.77614713202388,-9.27608767900634,-14.5164343385953,6,0.409304663904403,0.385309015974207,"Hamilton"
"7",6,446946,449925,434623,390132,0.666523472634273,-3.40101127965772,-10.2366878881237,-13.289548258043,7,0.401718851925162,0.36195481340215,"Winnipeg"
"8",7,838264,838732,795409,722718,0.0558296670261305,-5.16529713901461,-9.13882040560265,-13.832070315667,8,0.432767897686658,0.409078591400264,"Calgary"
"9",8,772691,783007,724351,641702,1.33507443467051,-7.49112076903528,-11.4100760542886,-18.0464542462583,9,0.400997839711082,0.375770926314201,"Edmonton"
"10",9,1459877,1461457,1346671,1210256,0.108228295945478,-7.85421671660541,-10.129794136801,-17.1883948689561,10,0.441592160599601,0.41279009202042,"Vancouver"
