"","PROV","remote_work_onet","remote_work_manual","name"
"1",10,0.366715142804032,0.335876088947987,"Newfoundland"
"2",11,0.350593694055193,0.322018713895867,"Prince Edward Island"
"3",12,0.374030923652611,0.343771659592067,"Nova Scotia"
"4",13,0.375898676594503,0.339141340750325,"New Brunswick"
"5",24,0.412672772712983,0.377048253573209,"Québec"
"6",35,0.429707350162789,0.401262037237106,"Ontario"
"7",46,0.371770914161024,0.339930581153489,"Manitoba"
"8",47,0.366926575946935,0.343729743011788,"Saskatchewan"
"9",48,0.387242680136933,0.365686578104206,"Alberta"
"10",59,0.40788879860813,0.380604254699334,"British Columbia"
