"","Group.1","remote_work_onet","remote_work_manual","percentile"
"1",1,0.265979747936073,0.196002258088188,1
"2",2,0.278151057290547,0.214102401666172,2
"3",3,0.295622605293513,0.240789531903693,3
"4",4,0.339286771371594,0.287265712891297,4
"5",5,0.378564972055973,0.334610492561434,5
"6",6,0.406964635879162,0.375867871212878,6
"7",7,0.414469689819323,0.393979361848617,7
"8",8,0.431179745536227,0.422692233257923,8
"9",9,0.467594253473412,0.453539642896758,9
"10",10,0.555536081156396,0.54561843387735,10
