"","geography","estimate_jobs_onet","estimate_wages_onet","estimate_jobs_manual","estimate_wages_manual","province","territory","canada","city"
"2","London","0.410439381316333","0.489908339037389","0.358011304535552","0.455629512186356",0,0,0,1
"3","Ottawa   Gatineau (Ontario part)","0.533504137017311","0.646623480648354","0.503579173668547","0.640784068334017",0,0,0,1
"4","Trois Rivieres","0.376711919143592","0.439849695895822","0.324282920469361","0.405638877075167",0,0,0,1
"5","Moncton","0.439369986533169","0.524175612885685","0.376767645025454","0.48194998044566",0,0,0,1
"6","Hamilton","0.424564153721913","0.524230935548457","0.374417413572343","0.491433154992449",0,0,0,1
"7","Northwest Territories","0.42968294106205","0.503321853731893","0.39707413577676","0.500591866169942",0,1,0,0
"8","Saguenay","0.360406091370558","0.404078161221658","0.305901294197783","0.367099577335836",0,0,0,1
"9","Montreal","0.462368814308286","0.563833255059104","0.405300659882594","0.531665028075485",0,0,0,1
"10","Belleville","0.352702575228752","0.402749857990651","0.278984443792193","0.332405415264148",0,0,0,1
"11","Halifax","0.455510616784631","0.535978980264066","0.402537459864431","0.500936180624931",0,0,0,1
"12","Abbotsford   Mission","0.334087253719341","0.38246344613683","0.29224537037037","0.363664285018616",0,0,0,1
"13","Ottawa   Gatineau","0.521409370830677","0.631946860429376","0.487840333232311","0.624194862463811",0,0,0,1
"14","Prince Edward Island","0.34746209238335","0.43339197116501","0.306926528323051","0.414498580151478",1,0,0,0
"15","Kelowna","0.377095727420227","0.434693923718968","0.338074239193642","0.420689638666987",0,0,0,1
"16","Kingston","0.411758080864962","0.486294227407045","0.37246945376138","0.471266577466334",0,0,0,1
"17","Quebec City","0.454875088021693","0.541255779528356","0.407385261067738","0.515104180533263",0,0,0,1
"18","Edmonton","0.396475880873792","0.451922320810839","0.355385724441728","0.433259652978332",0,0,0,1
"19","St. Catharines   Niagara","0.357413930235201","0.431421100573346","0.309896025366861","0.401376629861218",0,0,0,1
"20","Windsor","0.356966439052739","0.426449506647885","0.301423078135342","0.381338908510628",0,0,0,1
"21","Newfoundland and Labrador","0.3228821642244","0.380129637420669","0.280686885064672","0.355122285833409",1,0,0,0
"22","St. John's","0.414195294773297","0.490029884707873","0.378128763117151","0.472638667367228",0,0,0,1
"23","Calgary","0.458792632578074","0.589592659834866","0.41059931046134","0.55441984104421",0,0,0,1
"24","Peterborough","0.379878048780488","0.4483362893779","0.328774798705072","0.420236635623837",0,0,0,1
"25","Guelph","0.411733333333333","0.510421025818952","0.369696183558169","0.485393957528875",0,0,0,1
"26","New Brunswick","0.369192494822114","0.433501086690422","0.315840506133388","0.400854548503337",1,0,0,0
"27","Nova Scotia","0.384468516594945","0.452546413009563","0.335061186430023","0.42068614806097",1,0,0,0
"28","Regina","0.43045178409329","0.499859394467046","0.382967402262798","0.480481276819241",0,0,0,1
"29","Nunavut","0.416181606519208","0.532011521847694","0.358744756373024","0.531157026728525",0,1,0,0
"30","Thunder Bay","0.369201268530128","0.411201991935364","0.321195349207613","0.383824921611811",0,0,0,1
"31","Canada","0.414712754184325","0.506855324827875","0.368025522629278","0.480321999875282",0,0,1,0
"32","Toronto","0.494833349991124","0.629905489841032","0.447023762779285","0.604945102618881",0,0,0,1
"33","Brantford","0.348593196551494","0.42185434040473","0.291537964226708","0.371657931857322",0,0,0,1
"34","Vancouver","0.45306787987556","0.547106581152958","0.411604817093888","0.527113579060873",0,0,0,1
"35","Oshawa","0.425075169568562","0.503602307241565","0.366366159847954","0.461868637805735",0,0,0,1
"36","Saskatchewan","0.35449133675346","0.405289564948715","0.320166186458119","0.392379196338862",1,0,0,0
"37","Kitchener   Cambridge   Waterloo","0.423684252971822","0.521636133555397","0.374013597183441","0.488213933103634",0,0,0,1
"38","Ottawa   Gatineau (Quebec part) City","0.485199350343166","0.582765435310514","0.440374172747327","0.570575604146901",0,0,0,1
"39","Greater Sudbury","0.366047600893198","0.404245414364282","0.326429114738751","0.388324451384233",0,0,0,1
"40","Manitoba","0.384982011841024","0.453738743256095","0.336538607115821","0.426572283807375",1,0,0,0
"41","British Columbia","0.407253096704782","0.482231346635857","0.368473431414264","0.464064049310614",1,0,0,0
"42","Saint John","0.406542056074766","0.461712179048093","0.35412359292442","0.433364231562601",0,0,0,1
"43","Victoria","0.436713212109718","0.523105926605125","0.403127210265737","0.50958078362893",0,0,0,1
"44","Lethbridge","0.354265662694641","0.40492419182641","0.311809936908517","0.38587033709421",0,0,0,1
"45","Yukon","0.416929879974732","0.483439337590997","0.391267317737906","0.488370131999189",0,1,0,0
"46","Winnipeg","0.423928822804857","0.502622030246114","0.37115926750687","0.475700855395151",0,0,0,1
"47","Alberta","0.392107335942365","0.472539646909333","0.351177503429355","0.448023419173215",1,0,0,0
"48","Saskatoon","0.385481712756467","0.447326071143336","0.346775646221742","0.435448546594184",0,0,0,1
"49","Quebec","0.417502860639671","0.508011897999202","0.363192924549462","0.475387476618535",1,0,0,0
"50","Barrie","0.387640689861771","0.451647290972343","0.330089854673818","0.405259100858664",0,0,0,1
"51","Ontario","0.439420012768187","0.551835728655517","0.392294113740604","0.524592630135131",1,0,0,0
"52","Sherbrooke","0.39334596757212","0.460700362660575","0.339080856945404","0.430178843226757",0,0,0,1
